job,model,score,bsa,desolv,elec,total,vdw
PQ591826_pocket9__baloxavir,../05_flexref/flexref_2.pdb,-54.594,470.880,-0.317,-22.337,-49.541,-27.235
PP577942_pocket1__baloxavir,../05_flexref/flexref_5.pdb,-66.206,658.636,-3.982,-21.634,-55.638,-34.004
PP577942_pocket2__baloxavir,../05_flexref/flexref_5.pdb,-55.767,525.664,-8.998,-9.870,-41.512,-31.642
PP577942_pocket3__baloxavir,../05_flexref/flexref_3.pdb,-77.964,662.276,-10.408,-24.528,-60.934,-36.405
PP577942_pocket4__baloxavir,../05_flexref/flexref_4.pdb,-54.602,465.275,-7.790,-21.314,-42.159,-20.844
PP577942_pocket5__baloxavir,../05_flexref/flexref_3.pdb,-43.238,389.442,-8.363,-4.533,-30.981,-26.448
PP577942_pocket6__baloxavir,../05_flexref/flexref_7.pdb,-44.736,631.643,-0.640,-6.317,-37.780,-31.463
PP577942_pocket7__baloxavir,../05_flexref/flexref_3.pdb,-58.074,480.716,-9.282,-8.177,-43.985,-35.808
PP752858_pocket1__baloxavir,../05_flexref/flexref_9.pdb,-83.312,712.641,-5.074,-43.081,-71.112,-28.031
PP752858_pocket2__baloxavir,../05_flexref/flexref_5.pdb,-63.596,438.124,-9.299,-26.278,-49.916,-23.638
PP752858_pocket3__baloxavir,../05_flexref/flexref_3.pdb,-71.194,630.935,-13.898,-15.290,-50.986,-35.696
PP752858_pocket4__baloxavir,../05_flexref/flexref_9.pdb,-48.193,437.234,3.404,-27.592,-47.224,-19.633
PP752858_pocket5__baloxavir,../05_flexref/flexref_7.pdb,-56.424,458.323,-4.935,-27.745,-46.906,-19.161
PP752858_pocket6__baloxavir,../05_flexref/flexref_1.pdb,-57.435,595.000,-1.240,-22.406,-50.245,-27.839
PP752858_pocket7__baloxavir,../05_flexref/flexref_8.pdb,-57.269,514.839,-9.584,-7.973,-42.537,-34.564
GU052523_pocket1__baloxavir,../05_flexref/flexref_10.pdb,-61.346,514.220,-3.717,-23.646,-52.487,-28.841
GU052523_pocket2__baloxavir,../05_flexref/flexref_8.pdb,-78.680,570.386,-8.165,-29.772,-64.811,-35.039
GU052523_pocket3__baloxavir,../05_flexref/flexref_4.pdb,-73.961,643.078,-14.827,-15.585,-52.703,-37.117
GU052523_pocket4__baloxavir,../05_flexref/flexref_10.pdb,-53.140,469.647,-4.798,-23.771,-43.645,-19.874
GU052523_pocket5__baloxavir,../05_flexref/flexref_5.pdb,-48.681,488.782,-7.729,-8.926,-36.064,-27.138
GU052523_pocket6__baloxavir,../05_flexref/flexref_2.pdb,-48.910,419.242,-4.446,-11.279,-40.272,-28.993
GU052523_pocket7__baloxavir,../05_flexref/flexref_6.pdb,-579.275,493.802,6.988,-656.038,-581.325,74.713
GU052523_pocket8__baloxavir,../05_flexref/flexref_2.pdb,-40.222,389.226,-0.164,-18.034,-36.166,-18.132
